State,Interest,Year
WV,100,2017
DE,94,2017
LA,88,2017
TN,86,2017
SD,86,2017
KY,85,2017
OK,85,2017
ND,83,2017
PA,83,2017
NV,77,2017
AL,76,2017
AZ,76,2017
NC,76,2017
NJ,74,2017
MI,73,2017
GA,73,2017
AR,73,2017
IN,73,2017
OH,73,2017
FL,73,2017
MO,72,2017
MS,72,2017
CA,71,2017
SC,71,2017
AK,70,2017
IL,70,2017
MA,69,2017
NY,68,2017
WY,68,2017
VA,68,2017
WI,68,2017
WA,67,2017
RI,67,2017
CT,67,2017
IA,66,2017
NE,65,2017
TX,65,2017
NH,65,2017
MD,65,2017
MN,64,2017
OR,64,2017
ME,63,2017
HI,63,2017
MT,62,2017
CO,62,2017
ID,61,2017
DC,60,2017
UT,60,2017
NM,58,2017
VT,52,2017
KS,50,2017
WV,100,2018
KY,92,2018
TN,91,2018
LA,89,2018
OK,88,2018
AZ,87,2018
AR,85,2018
SD,85,2018
AL,84,2018
PA,83,2018
MS,82,2018
NV,81,2018
OH,81,2018
AK,79,2018
SC,78,2018
FL,78,2018
MI,78,2018
WY,77,2018
CA,77,2018
GA,77,2018
IL,76,2018
ND,74,2018
IN,74,2018
NJ,74,2018
MO,74,2018
NY,73,2018
ID,72,2018
NC,72,2018
WA,71,2018
RI,71,2018
CT,71,2018
OR,71,2018
TX,70,2018
VA,70,2018
NH,70,2018
DE,69,2018
MA,68,2018
VT,68,2018
MN,67,2018
ME,67,2018
WI,66,2018
IA,65,2018
MD,64,2018
UT,63,2018
NE,63,2018
CO,62,2018
KS,60,2018
HI,59,2018
NM,59,2018
MT,57,2018
DC,40,2018
WV,100,2019
LA,93,2019
AZ,91,2019
TN,88,2019
SD,88,2019
DE,87,2019
OK,87,2019
AK,84,2019
RI,82,2019
KY,81,2019
AL,81,2019
OH,80,2019
MI,80,2019
CA,79,2019
PA,79,2019
NJ,78,2019
SC,77,2019
AR,77,2019
FL,77,2019
IN,77,2019
GA,77,2019
NC,77,2019
MO,77,2019
CT,76,2019
MS,75,2019
IL,74,2019
WA,74,2019
NV,74,2019
NM,73,2019
NY,71,2019
MN,70,2019
ID,70,2019
NH,69,2019
MD,69,2019
MA,69,2019
TX,69,2019
NE,69,2019
VA,68,2019
ME,67,2019
IA,66,2019
MT,64,2019
OR,63,2019
WI,62,2019
HI,62,2019
CO,60,2019
KS,60,2019
ND,58,2019
UT,56,2019
WY,54,2019
VT,53,2019
DC,51,2019
WV,100,2020
LA,96,2020
TN,93,2020
NV,91,2020
AL,90,2020
KY,90,2020
AZ,90,2020
DE,85,2020
CA,83,2020
OK,83,2020
GA,82,2020
PA,82,2020
RI,82,2020
OH,82,2020
MI,82,2020
CT,81,2020
FL,81,2020
SC,80,2020
NM,80,2020
IN,80,2020
AR,80,2020
MO,79,2020
IL,78,2020
AK,78,2020
NC,78,2020
MS,77,2020
ND,76,2020
NJ,75,2020
VA,75,2020
MT,74,2020
UT,74,2020
TX,74,2020
NY,73,2020
SD,73,2020
MA,72,2020
IA,70,2020
HI,70,2020
WA,70,2020
KS,68,2020
CO,68,2020
WY,68,2020
MN,68,2020
NE,68,2020
MD,68,2020
OR,66,2020
NH,65,2020
WI,64,2020
ID,64,2020
ME,61,2020
VT,55,2020
DC,47,2020
