State,US_Orders,US_Sales,Year
AK,29,29,2017
AL,193,131,2017
AR,124,112,2017
AZ,388,299,2017
CA,2536,2196,2017
CO,399,341,2017
CT,166,141,2017
DC,67,60,2017
DE,38,32,2017
FL,1447,1408,2017
GA,485,455,2017
HI,55,43,2017
IA,116,103,2017
ID,67,63,2017
IL,632,548,2017
IN,341,289,2017
KS,129,118,2017
KY,213,173,2017
LA,180,240,2017
MA,240,245,2017
MD,287,219,2017
ME,51,33,2017
MI,525,478,2017
MN,335,270,2017
MO,304,184,2017
MS,90,72,2017
MT,52,50,2017
NC,486,516,2017
ND,46,37,2017
NE,110,83,2017
NH,44,36,2017
NJ,425,406,2017
NM,87,85,2017
NV,84,75,2017
NY,1140,1022,2017
OH,660,587,2017
OK,182,171,2017
OR,149,151,2017
PA,635,639,2017
RI,40,33,2017
SC,176,135,2017
SD,85,46,2017
TN,294,270,2017
TX,1231,1073,2017
UT,140,123,2017
VA,325,351,2017
VT,24,15,2017
WA,265,214,2017
WI,389,370,2017
WV,85,90,2017
WY,21,21,2017
AK,50,55,2018
AL,167,160,2018
AR,98,93,2018
AZ,359,322,2018
CA,2476,2274,2018
CO,348,327,2018
CT,269,260,2018
DC,47,55,2018
DE,36,41,2018
FL,1792,1605,2018
GA,491,441,2018
HI,48,45,2018
IA,116,111,2018
ID,65,74,2018
IL,654,617,2018
IN,466,448,2018
KS,107,98,2018
KY,174,169,2018
LA,175,180,2018
MA,343,286,2018
MD,383,380,2018
ME,53,58,2018
MI,676,482,2018
MN,279,319,2018
MO,247,235,2018
MS,109,119,2018
MT,53,54,2018
NC,773,565,2018
ND,41,53,2018
NE,110,125,2018
NH,44,57,2018
NJ,498,544,2018
NM,36,46,2018
NV,91,109,2018
NY,1207,1213,2018
OH,782,769,2018
OK,236,220,2018
OR,174,174,2018
PA,579,522,2018
RI,86,78,2018
SC,124,138,2018
SD,65,74,2018
TN,381,338,2018
TX,1084,1226,2018
UT,196,175,2018
VA,376,378,2018
VT,31,31,2018
WA,299,359,2018
WI,447,429,2018
WV,100,79,2018
WY,18,24,2018
AK,70,58,2019
AL,236,238,2019
AR,127,127,2019
AZ,531,476,2019
CA,3696,3854,2019
CO,349,366,2019
CT,205,209,2019
DC,99,97,2019
DE,29,25,2019
FL,2470,2431,2019
GA,674,626,2019
HI,91,99,2019
IA,187,176,2019
ID,77,77,2019
IL,745,820,2019
IN,738,566,2019
KS,154,158,2019
KY,252,249,2019
LA,301,301,2019
MA,468,464,2019
MD,558,417,2019
ME,68,69,2019
MI,604,653,2019
MN,318,311,2019
MO,302,315,2019
MS,141,130,2019
MT,48,46,2019
NC,816,751,2019
ND,41,42,2019
NE,106,106,2019
NH,93,80,2019
NJ,567,509,2019
NM,126,122,2019
NV,174,172,2019
NY,1529,1526,2019
OH,810,807,2019
OK,286,300,2019
OR,276,246,2019
PA,793,860,2019
RI,38,39,2019
SC,273,265,2019
SD,119,108,2019
TN,711,680,2019
TX,1711,1744,2019
UT,198,199,2019
VA,572,592,2019
VT,50,66,2019
WA,333,367,2019
WI,517,361,2019
WV,223,140,2019
WY,34,34,2019
AK,48,54,2020
AL,236,228,2020
AR,116,113,2020
AZ,405,441,2020
CA,2999,2639,2020
CO,335,361,2020
CT,214,242,2020
DC,63,69,2020
DE,65,63,2020
FL,1072,1284,2020
GA,682,735,2020
HI,77,90,2020
IA,124,128,2020
ID,51,56,2020
IL,730,587,2020
IN,1040,692,2020
KS,112,125,2020
KY,236,282,2020
LA,277,304,2020
MA,444,424,2020
MD,456,519,2020
ME,47,64,2020
MI,463,473,2020
MN,270,260,2020
MO,259,272,2020
MS,257,229,2020
MT,52,58,2020
NC,602,763,2020
ND,38,42,2020
NE,94,104,2020
NH,71,89,2020
NJ,565,615,2020
NM,126,133,2020
NV,95,115,2020
NY,1655,1729,2020
OH,555,598,2020
OK,227,240,2020
OR,197,190,2020
PA,790,794,2020
RI,32,37,2020
SC,222,228,2020
SD,101,121,2020
TN,516,531,2020
TX,1459,1521,2020
UT,179,149,2020
VA,416,444,2020
VT,19,22,2020
WA,316,389,2020
WI,321,246,2020
WV,140,110,2020
WY,45,50,2020
