Date,Total_Births
1/1/2017,314587
2/1/2017,290052
3/1/2017,319904
4/1/2017,300729
5/1/2017,323094
6/1/2017,324567
7/1/2017,335546
8/1/2017,352914
9/1/2017,337817
10/1/2017,330509
11/1/2017,317010
12/1/2017,315975
1/1/2018,314808
2/1/2018,284250
3/1/2018,316044
4/1/2018,298394
5/1/2018,320622
6/1/2018,314816
7/1/2018,329009
8/1/2018,344750
9/1/2018,322772
10/1/2018,326778
11/1/2018,308703
12/1/2018,310766
1/1/2019,311000
2/1/2019,280000
3/1/2019,304000
4/1/2019,299000
5/1/2019,316000
6/1/2019,304000
7/1/2019,334000
8/1/2019,342000
9/1/2019,326000
10/1/2019,325000
11/1/2019,298000
12/1/2019,309000
